simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,3,3,3122906083,17.3946,600,24,0.008982,0.0063705,0.10788,0.67786,0.49729,0.36785,2.3112,0.13076,0.60774,1.0548,0.084138,1.0549,1.647,1e-05         0.1,0.2497,0.074483,0.027306,0.004176,0.028174,0.0014676,0.034548,0.0015534,
0,3,2,499231389,14.1158,300,17,0.012818,0.0083971,0.1422,0.8935,0.53658,0.39692,2.4939,0.14762,0.6861,0.9696,0.10249,0.96976,1.5312,1e-05         0.1,0.10374,0.088255,0.045495,0.0095063,0.044873,0.0072341,0.063725,0.0019734,
0,2,2,3229565270,18.1456,900,30,0.0063989,0.00519,0.087892,0.55224,0.45893,0.33947,2.133,0.12007,0.55805,0.066482,0.68293,0.066494,0.97665,1e-05         0.1,0.21781,0.17001,0.092791,0.020206,0.15477,0.020987,0.14944,0.020116,
4,3,1,3771105360,21.1365,900,30,0.0039337,0.011762,0.028343,0.19769,0.64093,0.19525,1.2505,0.20159,0.31095,0.9758,0.023231,0.97583,0.75648,1e-05         0.1,0.23378,0.21222,0.020951,0.001313,0.024846,0.0029261,0.0228,0.0016091,
1,2,1,3796459998,19.369,900,30,0.0036779,0.0097892,0.059348,0.53479,0.58561,0.26398,1.7134,0.16405,0.27868,0.068429,0.70178,0.068441,1.0069,1e-05         0.1,0.11241,0.12244,0.083988,0.02093,0.12046,0.025404,0.21398,0.020449,
4,2,3,1887666786,22.6816,300,17,0.0067621,0.026011,0.062676,0.44815,0.91602,0.27904,1.7913,0.24274,0.37442,0.23864,1.7933,0.23868,3.1622,1e-05         0.1,0.57116,0.38289,0.16376,0.026851,0.28963,0.019638,0.442,0.01452,
1,1,3,877647109,20.753,300,17,0.030245,0.023081,0.13993,0.93863,0.75767,0.34155,2.1448,0.30826,0.52366,1.269,0.14278,1.2691,1.9802,1e-05         0.1,0.97319,2.1014,0.075383,0.015071,0.096144,0.0042347,0.17693,0.0028364,
0,1,2,2931354800,21.9608,1200,34,0.003251,0.0049913,0.084528,0.5311,0.4197,0.31045,1.9506,0.1015,0.47173,0.0012898,5.0115,0.0012962,0.27284,1e-05         0.1,0.99998,2.0025,26.4672,33.9177,40.2917,32.2142,37.1052,30.7754,
0,3,3,932458423,14.6211,300,17,0.0086941,0.0085965,0.14558,0.91472,0.52887,0.39121,2.458,0.14709,0.68365,1.4371,0.11463,1.4373,2.244,1e-05         0.1,0.51278,0.19435,0.050953,0.0061606,0.073665,0.0053325,0.099905,0.0016372,
0,3,2,2444958521,19.7711,600,24,0.0027603,0.0045829,0.077612,0.48765,0.41378,0.30607,1.9231,0.088457,0.41112,0.51994,0.054958,0.52001,0.82106,1e-05         0.1,0.16837,0.092198,0.037414,0.0061165,0.035261,0.0036373,0.059069,0.001889,
1,3,2,612776546,25.935,600,24,0.0048082,0.0081104,0.049171,0.48254,0.57593,0.25962,1.6896,0.16629,0.28249,1.1784,0.051891,1.1785,1.2917,1e-05         0.1,0.35649,0.30923,0.038631,0.0037291,0.036706,0.004023,0.065371,0.0019915,
4,3,3,4151583946,31.9577,900,30,0.0054242,0.015866,0.038231,0.24306,0.69943,0.21306,1.3323,0.19652,0.30313,1.2079,0.031636,1.208,1.0167,1e-05         0.1,0.51049,0.35503,0.036742,0.0013374,0.033369,0.0020763,0.063981,0.0013345,
1,1,2,151195637,17.8519,300,17,0.034123,0.02247,0.13623,0.99373,0.82344,0.37119,2.3069,0.28715,0.48779,3.1213,0.15964,3.1213,4.0206,1e-05         0.1,0.79341,1.5981,0.10657,0.0053731,0.14087,0.0055612,0.25627,0.0024626,
0,3,3,57410548,21.4548,1200,34,0.0024331,0.0038228,0.064739,0.40677,0.37144,0.27476,1.7263,0.085945,0.39945,0.42732,0.034086,0.42736,0.66721,1e-05         0.1,0.21264,0.063598,0.014733,0.0015065,0.014968,0.0027327,0.013882,0.0013881,
1,2,2,2302452856,23.0028,1200,34,0.0047776,0.0071821,0.043542,0.35646,0.48315,0.2178,1.3918,0.14864,0.25251,0.080847,0.82914,0.080865,1.1893,1e-05         0.1,0.11962,0.087146,0.070527,0.021386,0.094827,0.020134,0.16801,0.021828,
1,1,2,53582974,20.5514,300,17,0.032164,0.032187,0.19514,1.0697,0.86984,0.39211,2.3978,0.34475,0.58565,4.0091,0.20505,4.0092,5.1642,1e-05         0.1,1.4774,19.0957,0.078705,0.019251,0.1517,0.0066312,0.24348,0.0020916,
4,2,2,3604370930,23.7532,1200,34,0.010152,0.015089,0.03636,0.23937,0.67621,0.20599,1.3186,0.1845,0.28459,0.11598,1.1557,0.116,1.5699,1e-05         0.1,0.10202,0.07856,0.057434,0.018794,0.081526,0.021372,0.11316,0.017595,
0,1,3,3769994093,18.4206,600,24,0.0075435,0.0068789,0.11649,0.73196,0.51061,0.3777,2.3732,0.13193,0.61319,0.0016598,4.8667,0.0016728,0.34817,1e-05         0.1,1.0006,2.6512,17.1255,22.807,27.5457,22.5881,22.1031,20.5243,
1,1,3,3253295726,17.8181,300,17,0.042053,0.030155,0.18282,1.0172,0.9168,0.41328,2.5918,0.29413,0.49966,1.1759,0.1323,1.1759,1.8348,1e-05         0.1,0.9932,2.1227,0.068968,0.0051685,0.077714,0.0038171,0.10955,0.0034751,
1,2,1,4027302713,18.5222,300,17,0.014075,0.013713,0.083135,0.72991,0.64344,0.29005,1.8381,0.16811,0.28558,0.12455,1.2773,0.12457,1.8327,1e-05         0.1,0.16174,0.16964,0.081883,0.022642,0.20421,0.017985,0.18811,0.016001,
0,3,1,1863942100,16.8461,300,17,0.014289,0.0071654,0.12135,0.76244,0.50037,0.37013,2.3256,0.11315,0.52591,0.70642,0.074669,0.70646,1.1154,1e-05         0.1,0.15762,0.11299,0.03537,0.0025744,0.046989,0.009228,0.062469,0.0021127,
0,2,2,3433049180,24.0577,1200,34,0.0045949,0.0041002,0.069437,0.43628,0.38961,0.2882,1.8108,0.10625,0.4938,0.066375,0.68183,0.066388,0.97509,1e-05         0.1,0.097394,0.077388,0.0642,0.021082,0.085725,0.021914,0.13357,0.018135,
1,2,3,2972809783,18.0691,300,17,0.014314,0.025007,0.15161,1.0349,0.77187,0.34794,2.236,0.24379,0.41414,0.17351,1.3444,0.17354,2.5179,1e-05         0.1,0.50755,0.29363,0.093591,0.016504,0.24648,0.018272,0.27474,0.01775,
4,3,2,2467181087,20.0162,900,30,0.0034112,0.015584,0.037552,0.25255,0.69182,0.21075,1.3438,0.23097,0.35626,2.6357,0.053683,2.6358,1.9634,1e-05         0.1,0.23652,0.20124,0.023904,0.0025478,0.023962,0.0030867,0.035207,0.0010426,
1,2,2,2613776478,17.0189,300,17,0.015449,0.013322,0.080767,0.79015,0.68443,0.30853,1.9787,0.19466,0.33068,0.12132,1.2442,0.12135,1.7847,1e-05         0.1,0.34057,0.30637,0.15781,0.030392,0.35127,0.024049,0.33188,0.018596,
