simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,1,2418093156,9.6468,300,17,0.0050794,0.0051729,0.08281,0.52031,0.36531,0.36486,2.2925,0.086838,0.54495,1.4214,0.061693,1.422,1.6564,0.058824,0.43834,0.27135,0.10205,0.27638,0.089711,0.25195,0.064231,
0,1,2453998914,11.0495,900,30,0.0034647,0.0042028,0.06728,0.42274,0.31865,0.31826,1.9997,0.09448,0.59291,1.4902,0.078528,1.4902,1.9461,0.033333,0.36797,0.20575,0.10644,0.20326,0.10585,0.22954,0.10151,
4,3,1210574735,11.8167,900,30,0.0023722,0.019589,0.03526,0.27924,0.42893,0.21676,1.3459,0.27812,0.30693,17.3897,0.063895,17.3899,8.9678,0.033333,0.47527,0.10005,0.039679,0.10201,0.040092,0.12465,0.036102,
4,3,421664928,11.7909,900,30,0.0011291,0.028111,0.0506,0.40873,0.50171,0.25354,1.5532,0.29339,0.32379,1.5508,0.051971,1.551,1.7802,0.033333,0.68153,0.35044,0.14976,0.37673,0.14382,0.43474,0.14729,
4,3,3641822426,11.7741,900,30,0.018796,0.026196,0.047153,0.31497,0.45216,0.2285,1.3813,0.25571,0.2822,14.4666,0.075596,14.4668,8.2618,0.033333,0.55336,0.12704,0.052919,0.13926,0.047591,0.13937,0.046467,
0,1,3318057021,9.6761,300,17,0.029775,0.0064001,0.10246,0.64375,0.39269,0.39221,2.4643,0.13238,0.83072,1.6441,0.13373,1.6448,2.4188,0.058824,0.64006,0.34591,0.15172,0.46727,0.12414,0.44904,0.16721,
4,3,3533929608,11.7857,900,30,0.00119,0.012512,0.022521,0.33883,0.42493,0.21474,1.4284,0.25582,0.28232,1.8742,0.073154,1.8744,2.1415,0.033333,0.59701,0.26683,0.094548,0.30576,0.10101,0.3852,0.079123,
0,1,1655001397,9.7134,300,17,0.005879,0.0066804,0.10694,0.67194,0.42131,0.42079,2.6439,0.17331,1.0876,1.7664,0.081271,1.7676,2.2665,0.058824,0.49883,0.26357,0.083895,0.27308,0.10538,0.26811,0.069745,
4,2,3986448737,12.2066,900,30,0.00339,0.0098464,0.017724,0.33117,0.42175,0.21313,1.4785,0.20007,0.2208,2.8741,0.023636,2.8744,2.0677,0.033333,0.44848,0.13768,0.065792,0.14291,0.058734,0.18319,0.070713,
0,1,1427900001,10.4184,600,24,0.010443,0.0047284,0.075693,0.4756,0.31564,0.31525,1.9808,0.087887,0.55153,2.2304,0.094419,2.2308,2.6509,0.041667,0.34927,0.18495,0.09518,0.21713,0.098294,0.21153,0.089118,
