simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
1,3,1110383027,9.5156,600,24,0.0019677,0.18649,0.035536,0.33229,1.9901,0.21513,1.3529,0.65428,0.26142,39.7786,0.058387,39.781,7.5607,0.041667,0.3889,0.063188,0.017818,0.066815,0.018145,0.10882,0.015468,
1,2,417978928,17.8352,900,30,0.0066669,0.2558,0.048743,0.33342,2.1611,0.23361,1.4422,0.68975,0.27559,53.9325,0.099943,53.9331,11.8083,0.033333,0.19915,0.048384,0.01989,0.058791,0.020752,0.069923,0.017406,
1,2,2779819706,12.5587,300,17,0.01368,0.28538,0.05438,0.59616,2.7707,0.29951,1.8689,1.1562,0.46196,77.522,0.1891,77.5267,21.5684,0.058824,0.23432,0.078854,0.023454,0.07391,0.022275,0.13317,0.016396,
1,2,370898949,12.3681,300,17,0.023976,0.42497,0.08098,0.57102,2.7631,0.29869,1.7833,1.0952,0.43758,61.519,0.13362,61.5194,15.0527,0.058824,0.25232,0.086644,0.029987,0.1254,0.02363,0.1398,0.017217,
1,2,3830759808,12.376,300,17,0.011821,0.37665,0.071773,0.58024,2.8789,0.31121,1.9544,0.9364,0.37414,53.8269,0.12467,53.8296,14.3511,0.058824,0.23368,0.068751,0.028184,0.096198,0.025886,0.10643,0.022849,
1,3,1330894967,9.5038,600,24,0.0024914,0.2832,0.053965,0.4935,2.3611,0.25523,1.6389,0.88504,0.35362,53.5708,0.074158,53.5717,9.2532,0.041667,0.44616,0.035047,0.014725,0.039736,0.014133,0.050727,0.015064,
1,3,3688637102,12.9507,300,17,0.0089667,0.43874,0.083604,0.55449,2.7028,0.29218,1.8058,0.92297,0.36878,93.2106,0.15147,93.2116,19.4927,0.058824,0.54811,0.10681,0.02615,0.11096,0.022393,0.20244,0.022477,
1,2,1673376744,12.5138,300,17,0.021519,0.56031,0.10677,0.57544,2.8222,0.30508,1.8503,1.114,0.44511,157.3014,0.24563,157.3027,33.047,0.058824,0.38202,0.092118,0.024887,0.11125,0.026047,0.15343,0.024656,
1,3,3631433638,15.7604,600,24,0.0033308,0.30131,0.057415,0.36377,2.1992,0.23774,1.4564,0.98951,0.39537,105.2377,0.080887,105.2396,16.6151,0.041667,0.38185,0.062061,0.017279,0.066573,0.017437,0.088309,0.014992,
1,3,462926575,9.7127,600,24,0.013983,0.57633,0.10982,0.515,2.6219,0.28343,1.7186,1.187,0.47429,79.3524,0.1227,79.3543,15.7812,0.041667,0.48505,0.057717,0.017711,0.055595,0.017834,0.095384,0.015935,
4,3,3693824592,12.5204,900,30,0.0044736,0.17937,0.043954,0.28416,2.2111,0.18942,1.1838,0.55923,0.24827,57.4173,0.059692,57.4198,8.3263,0.033333,0.29073,0.03513,0.016221,0.042121,0.017087,0.044021,0.01318,
4,3,3528945413,12.6,900,30,0.0017368,0.20183,0.049458,0.2922,2.3886,0.20462,1.2617,0.88565,0.39319,33.6942,0.064111,33.6946,8.1258,0.033333,0.34347,0.050006,0.017836,0.051713,0.017738,0.07165,0.017507,
1,2,3841824981,12.4907,300,17,0.017691,0.55728,0.10619,0.61762,2.7091,0.29285,1.7355,1.2244,0.48921,73.6707,0.12943,73.6717,15.8531,0.058824,0.35689,0.079083,0.026414,0.085512,0.027848,0.10497,0.025855,
1,2,393682491,12.4529,300,17,0.02008,0.2917,0.055585,0.54521,2.5618,0.27693,1.7077,0.92316,0.36885,65.2355,0.11681,65.2374,14.5093,0.058824,0.26864,0.084991,0.021329,0.10062,0.027384,0.1757,0.024599,
4,1,2156965396,12.0579,600,24,0.0054628,0.25001,0.061265,0.38878,2.695,0.23087,1.4457,0.79525,0.35305,38.2089,0.057099,38.2091,6.3295,0.041667,0.29848,0.044782,0.023758,0.045021,0.017863,0.061622,0.024483,
4,1,2620365194,12.4294,600,24,0.016566,0.39712,0.097313,0.55691,3.1104,0.26646,1.6508,1.1746,0.52145,73.8031,0.11317,73.804,12.1934,0.041667,0.21552,0.036667,0.025781,0.043309,0.018515,0.04598,0.019795,
1,3,1928792355,9.6802,600,24,0.012571,0.25828,0.049217,0.45178,2.1255,0.22976,1.4373,0.79938,0.3194,77.764,0.046716,77.7644,12.0168,0.041667,0.45956,0.11749,0.036696,0.13049,0.031642,0.1859,0.038458,
1,2,3334330123,12.5494,300,17,0.0094619,0.3256,0.062044,0.64698,2.6084,0.28197,1.8034,0.80275,0.32074,65.1349,0.1112,65.1356,13.2891,0.058824,0.31739,0.068107,0.021888,0.074976,0.022243,0.097377,0.022011,
1,2,3988683099,17.5735,900,30,0.0031959,0.23795,0.045342,0.36265,2.0075,0.21701,1.3583,0.93956,0.37541,32.6481,0.077384,32.6489,7.8187,0.033333,0.34017,0.063508,0.028426,0.070186,0.029336,0.080752,0.025045,
1,2,2013452437,9.6559,600,24,0.0034289,0.18734,0.035699,0.34357,2.0835,0.22523,1.4401,0.68661,0.27434,55.9035,0.12649,55.9074,14.439,0.041667,0.21117,0.07125,0.027128,0.071004,0.027092,0.11311,0.022316,
1,2,1539066317,9.6284,600,24,0.017834,0.32283,0.061517,0.51402,2.4298,0.26266,1.6257,0.8281,0.33087,70.3776,0.05881,70.3783,12.8875,0.041667,0.33326,0.08633,0.030898,0.10137,0.028334,0.12515,0.022452,
1,2,1227374464,9.6405,600,24,0.0089926,0.22032,0.041982,0.45742,2.2926,0.24783,1.5978,0.65109,0.26015,55.5787,0.089578,55.5794,11.7504,0.041667,0.32043,0.050157,0.020351,0.062183,0.02037,0.071356,0.016818,
4,1,351892301,12.5127,600,24,0.0074207,0.34702,0.085037,0.55778,2.9418,0.25202,1.5936,0.85446,0.37934,76.8203,0.14026,76.8209,14.9846,0.041667,0.18668,0.057614,0.026402,0.051195,0.020786,0.086639,0.021451,
0,3,2076201208,6.9654,600,24,0.0098321,0.12205,0.088882,0.55846,1.7632,0.35263,2.2156,0.47348,0.59497,55.3938,0.1219,55.3964,12.8127,0.041667,0.35584,0.049259,0.019239,0.058079,0.018772,0.088436,0.01974,
1,2,837092545,9.6465,600,24,0.005044,0.17771,0.033864,0.26469,2.0798,0.22483,1.41,0.8483,0.33894,45.3619,0.078288,45.3649,10.2497,0.041667,0.32144,0.071868,0.026063,0.093864,0.027513,0.10682,0.025102,
