simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
1,1,206092464,13.2456,300,17,0.0056642,0.027648,0.049537,0.69887,0.77859,0.27789,1.9957,0.34454,0.29739,1.1582,0.089368,1.1587,1.7586,1,0.85715,0.1339,0.051827,0.15861,0.051602,0.15203,0.048926,
1,1,2920330774,14.8139,900,30,0.0045851,0.011187,0.020043,0.24172,0.49079,0.17517,1.2289,0.2427,0.20949,5.669,0.027838,5.6693,2.624,1,0.48715,0.33793,0.20965,0.34263,0.19403,0.44166,0.22036,
0,3,2725083819,11.1553,600,24,0.0012019,0.0039689,0.063536,0.39921,0.31832,0.31793,1.9976,0.082688,0.51891,2.206,0.06986,2.2066,2.0189,1,0.55189,0.096051,0.070977,0.099955,0.069709,0.10623,0.071126,
0,3,2316821865,11.8157,900,30,0.0024514,0.0031261,0.050043,0.31443,0.28874,0.28839,1.812,0.080948,0.50799,0.77838,0.07442,0.77866,1.2136,1,0.59303,0.30081,0.15512,0.30284,0.15318,0.35667,0.15451,
0,3,3094318428,11.7334,900,30,0.0026447,0.0032891,0.052654,0.33083,0.2839,0.28355,1.7816,0.071975,0.45168,1.4399,0.061325,1.4402,1.5127,1,0.44415,0.12893,0.082442,0.13213,0.081069,0.10507,0.070991,
1,1,2123706,13.2254,300,17,0.015912,0.05147,0.092216,0.54495,0.85682,0.30581,1.9185,0.43976,0.37958,14.1215,0.074105,14.1219,6.7404,1,0.41466,0.1022,0.071347,0.14291,0.098266,0.1042,0.05998,
4,3,1178096712,12.7668,900,30,0.021352,0.039208,0.070575,0.4217,0.55509,0.28052,1.6517,0.34438,0.38005,16.1383,0.09366,16.1386,10.3674,1,0.61085,0.12728,0.053728,0.12603,0.053359,0.15646,0.054639,
1,1,4283402651,14.8453,900,30,0.002134,0.016104,0.028853,0.2137,0.49895,0.17808,1.184,0.26548,0.22915,6.5421,0.034371,6.5424,3.1615,1,0.51696,0.20305,0.11088,0.19835,0.10225,0.21213,0.10532,
1,1,2769638680,14.8501,900,30,0.001208,0.0086599,0.015516,0.19528,0.47798,0.1706,1.1834,0.22165,0.19132,2.187,0.018501,2.1871,1.344,1,0.56801,0.097227,0.048337,0.11224,0.050791,0.11189,0.055469,
1,1,2084808760,14.0957,600,24,0.0056939,0.026366,0.047238,0.38189,0.57042,0.20359,1.3942,0.35808,0.30907,4.4184,0.027841,4.4186,2.2627,1,0.57006,0.12183,0.059348,0.15008,0.061993,0.12994,0.049445,
1,1,440596451,14.0773,600,24,0.0022662,0.024304,0.043544,0.45622,0.67046,0.2393,1.5902,0.31806,0.27453,0.57794,0.11869,0.57807,1.2709,1,0.96336,0.20779,0.062222,0.19264,0.060555,0.22617,0.057341,
1,2,2277142869,13.2343,300,17,0.0085182,0.047512,0.085125,0.68707,0.99805,0.35622,2.2914,0.48179,0.41585,17.6672,0.11268,17.6673,10.1528,1,0.63084,0.28661,0.13365,0.41453,0.14631,0.27201,0.1535,
0,3,1108727584,11.9365,900,30,0.020423,0.0069087,0.1106,0.6949,0.36994,0.36949,2.3216,0.10332,0.64836,6.6023,0.24519,6.6025,7.7632,1,0.49088,0.1091,0.074239,0.12398,0.080845,0.10824,0.067818,
1,1,80526069,13.3562,300,17,0.012908,0.056023,0.10037,0.43698,0.80529,0.28742,1.6622,0.50175,0.43308,2.7913,0.13324,2.7915,3.6192,1,0.94126,0.14651,0.049154,0.17292,0.055627,0.1547,0.051984,
0,1,506621240,10.7021,300,17,0.022849,0.0066363,0.10624,0.6675,0.4444,0.44386,2.7888,0.12064,0.75705,1.4485,0.097017,1.449,1.8124,1,0.54755,0.35677,0.14839,0.3652,0.13242,0.28812,0.15,
1,1,4289873198,13.4412,300,17,0.0096946,0.044717,0.080119,0.50914,0.74446,0.26571,1.661,0.44478,0.38391,19.9159,0.10118,19.9163,9.4724,1,0.43037,0.2461,0.17044,0.29915,0.17129,0.31919,0.19564,
1,1,4010031631,14.2112,600,24,0.0061962,0.016343,0.029281,0.301,0.52889,0.18877,1.3266,0.22391,0.19327,1.2267,0.05148,1.227,1.2951,1,0.74071,0.11187,0.042908,0.1217,0.046288,0.09825,0.03988,
1,2,118177585,13.396,300,17,0.015787,0.036569,0.065518,0.48098,0.72919,0.26026,1.7227,0.39356,0.3397,7.9806,0.049433,7.981,4.4225,1,0.56563,0.16363,0.070611,0.22118,0.094207,0.16666,0.070243,
1,2,1530280683,13.4169,300,17,0.0029559,0.016013,0.02869,0.67585,0.5777,0.20619,1.5999,0.2591,0.22364,6.3816,0.039328,6.382,3.5322,1,0.57328,0.20696,0.098199,0.16726,0.066294,0.16051,0.06711,
1,1,4069210854,13.31,300,17,0.059811,0.1269,0.22735,0.85662,1.0247,0.36573,2.1052,0.64948,0.56059,31.2918,0.25225,31.2922,17.3201,1,0.71046,0.37795,0.15106,0.46863,0.18598,0.405,0.11009,
